q,p,d,n,m,h,k,family,verdict,witness,profile,population_searched,exhaustive,population_definition
3,3,1,2,2,1,2,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,2,ones,NONE,,,3,yes,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,4,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,5,5,1,5,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,6,2,3,6,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,7,7,1,7,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,8,8,1,2,ones,NONE,,,7,yes,all residue allocations modulo cyclic rotation
3,3,1,8,8,1,6,ones,NONE,,,21,yes,all residue allocations modulo cyclic rotation
3,3,1,8,8,1,8,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,10,10,1,10,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,11,11,1,11,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,12,4,3,12,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,13,13,1,13,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,14,14,1,14,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,15,5,3,15,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,16,16,1,2,ones,NONE,,,15,yes,all residue allocations modulo cyclic rotation
3,3,1,16,16,1,14,ones,NONE,,,105,yes,all residue allocations modulo cyclic rotation
3,3,1,16,16,1,16,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,17,17,1,17,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,18,2,9,18,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,19,19,1,19,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,20,20,1,20,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,21,7,3,21,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,22,22,1,22,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,23,23,1,23,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,24,8,3,24,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,25,25,1,25,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,26,26,1,26,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,28,28,1,28,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,29,29,1,29,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,30,10,3,30,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,3,3,1,3,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,5,5,1,5,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,6,3,2,6,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,7,7,1,7,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,9,9,1,9,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,10,5,2,10,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,11,11,1,11,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
4,2,2,12,3,4,12,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
