q,p,d,n,m,h,k,family,verdict,witness,profile,population_searched,exhaustive,population_definition
11,11,1,2,2,1,2,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,2,2,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2]",1,no,all residue allocations modulo cyclic rotation
11,11,1,2,2,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2]",1,no,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}","[1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,3,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,3,3,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,2,ones,NONE,,,3,yes,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}","[1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,4,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,4,4,1,4,all_distinct,FOUND,"{""coeffs"":[1,2,3,4],""positions"":[0,1,2,3]}","[1,2,3,4]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}","[1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}","[1,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,4,ones,FOUND,"{""coeffs"":[1,1,1,1],""positions"":[0,1,2,3]}","[1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,4,all_distinct,FOUND,"{""coeffs"":[1,2,3,4],""positions"":[0,1,2,3]}","[1,2,3,4,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,5,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,5,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1],""positions"":[0,1,2,3,4]}","[2,1,1,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,5,5,1,5,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5],""positions"":[0,1,2,3,4]}","[1,2,3,4,5]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,2]}","[1,0,1,0,0,0]",2,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,3]}","[1,1,0,1,0,0]",2,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,4,ones,FOUND,"{""coeffs"":[1,1,1,1],""positions"":[0,1,2,4]}","[1,1,1,0,1,0]",2,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,4,all_distinct,FOUND,"{""coeffs"":[1,2,3,4],""positions"":[0,1,2,3]}","[1,2,3,4,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,5,ones,FOUND,"{""coeffs"":[1,1,1,1,1],""positions"":[0,1,2,3,4]}","[1,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,5,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1],""positions"":[0,1,2,3,4]}","[2,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,5,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5],""positions"":[0,1,2,3,4]}","[1,2,3,4,5,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,6,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,6,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1],""positions"":[0,1,2,3,4,5]}","[2,1,1,1,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,6,6,1,6,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6],""positions"":[0,1,2,3,4,5]}","[1,2,3,4,5,6]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}","[1,1,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}","[1,1,1,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,4,ones,FOUND,"{""coeffs"":[1,1,1,1],""positions"":[0,1,2,3]}","[1,1,1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,4,all_distinct,FOUND,"{""coeffs"":[1,2,3,4],""positions"":[0,1,2,3]}","[1,2,3,4,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,5,ones,FOUND,"{""coeffs"":[1,1,1,1,1],""positions"":[0,1,2,3,4]}","[1,1,1,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,5,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1],""positions"":[0,1,2,3,4]}","[2,1,1,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,5,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5],""positions"":[0,1,2,3,4]}","[1,2,3,4,5,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,6,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1],""positions"":[0,1,2,3,4,5]}","[1,1,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,6,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1],""positions"":[0,1,2,3,4,5]}","[2,1,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,6,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6],""positions"":[0,1,2,3,4,5]}","[1,2,3,4,5,6,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,7,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,7,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6]}","[2,1,1,1,1,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,7,7,1,7,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6,7],""positions"":[0,1,2,3,4,5,6]}","[1,2,3,4,5,6,7]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,2,ones,NONE,,,7,yes,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}","[1,1,1,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,3,all_distinct,FOUND,"{""coeffs"":[1,2,3],""positions"":[0,1,2]}","[1,2,3,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,4,ones,FOUND,"{""coeffs"":[1,1,1,1],""positions"":[0,1,2,4]}","[1,1,1,0,1,0,0,0]",2,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,4,all_distinct,FOUND,"{""coeffs"":[1,2,3,4],""positions"":[0,1,2,3]}","[1,2,3,4,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,5,ones,FOUND,"{""coeffs"":[1,1,1,1,1],""positions"":[0,1,2,3,4]}","[1,1,1,1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,5,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1],""positions"":[0,1,2,3,4]}","[2,1,1,1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,5,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5],""positions"":[0,1,2,3,4]}","[1,2,3,4,5,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,6,ones,NONE,,,21,yes,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,6,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1],""positions"":[0,1,2,3,4,5]}","[2,1,1,1,1,1,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,6,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6],""positions"":[0,1,2,3,4,5]}","[1,2,3,4,5,6,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,7,ones,FOUND,"{""coeffs"":[1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6]}","[1,1,1,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,7,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6]}","[2,1,1,1,1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,7,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6,7],""positions"":[0,1,2,3,4,5,6]}","[1,2,3,4,5,6,7,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,8,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,8,one_changed,FOUND,"{""coeffs"":[2,1,1,1,1,1,1,1],""positions"":[0,1,2,3,4,5,6,7]}","[2,1,1,1,1,1,1,1]",1,no,all residue allocations modulo cyclic rotation
11,11,1,8,8,1,8,all_distinct,FOUND,"{""coeffs"":[1,2,3,4,5,6,7,8],""positions"":[0,1,2,3,4,5,6,7]}","[1,2,3,4,5,6,7,8]",1,no,all residue allocations modulo cyclic rotation
11,11,1,9,9,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}","[1,1,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
11,11,1,9,9,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0,0,0,0,0]",1,no,all residue allocations modulo cyclic rotation
