q,p,d,n,m,h,k,family,verdict,witness,profile,population_searched,exhaustive,population_definition
3,3,1,2,2,1,2,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,2,2,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2]",1,no,all residue allocations modulo cyclic rotation
3,3,1,2,2,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2]",1,no,all residue allocations modulo cyclic rotation
3,3,1,3,1,3,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}",[2],1,no,vacuous m=1
3,3,1,3,1,3,2,one_changed,FOUND,"{""coeffs"":[2,1],""positions"":[0,1]}",[0],1,no,vacuous m=1
3,3,1,3,1,3,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}",[0],1,no,vacuous m=1
3,3,1,3,1,3,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}",[0],1,no,vacuous m=1
3,3,1,3,1,3,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}",[1],1,no,vacuous m=1
3,3,1,4,4,1,2,ones,NONE,,,3,yes,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,3,ones,FOUND,"{""coeffs"":[1,1,1],""positions"":[0,1,2]}","[1,1,1,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,3,one_changed,FOUND,"{""coeffs"":[2,1,1],""positions"":[0,1,2]}","[2,1,1,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,4,ones,NONE,,,1,yes,all residue allocations modulo cyclic rotation
3,3,1,4,4,1,4,one_changed,FOUND,"{""coeffs"":[2,1,1,1],""positions"":[0,1,2,3]}","[2,1,1,1]",1,no,all residue allocations modulo cyclic rotation
3,3,1,5,5,1,2,ones,FOUND,"{""coeffs"":[1,1],""positions"":[0,1]}","[1,1,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,5,5,1,2,one_changed,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0]",1,no,all residue allocations modulo cyclic rotation
3,3,1,5,5,1,2,all_distinct,FOUND,"{""coeffs"":[1,2],""positions"":[0,1]}","[1,2,0,0,0]",1,no,all residue allocations modulo cyclic rotation
