# step-3 frames of a CASE A host at which (TAIL-3'') does NOT fire.
# format: host v P... | y z   (P is the geodesic u_0..u_d from v)
W44a 5 5 361 342 402 203 324 343 | 0 420
W44a 41 41 16 381 288 159 360 182 | 163 420
W44a 54 54 66 342 402 203 324 343 | 0 420
W44a 124 124 94 200 343 324 203 330 | 163 420
W44a 226 226 200 343 324 203 402 342 | 163 420
W44a 237 237 192 183 145 129 320 330 | 163 420
W44a 294 294 26 106 330 320 129 145 | 0 420
W44a 308 308 242 182 360 130 170 11 | 0 420
W44a 315 315 281 283 330 320 129 145 | 0 420
W44a 364 364 347 320 330 203 324 343 | 0 420
W44a 409 409 57 283 330 203 324 343 | 0 420
