=== Family I  (B independent, 2 private leaves) ===
tau   c    n   m  alpha  residue  hardcore  ThmN-applies
  3   3    8  11     5        3  HARD-CORE False
  3   4    9  14     6        3  HARD-CORE True
  3   5   10  17     7        4  HARD-CORE True
  3   6   11  20     8        5  HARD-CORE True
  3   7   12  23     9        6  HARD-CORE True
  3   8   13  26    10        7  HARD-CORE True
  3   9   14  29    11        8  HARD-CORE True
  3  10   15  32    12        9  HARD-CORE True
  4   4   10  18     6        3  HARD-CORE False
  4   5   11  22     7        3  HARD-CORE True
  4   6   12  26     8        4  HARD-CORE True
  4   7   13  30     9        4  HARD-CORE True
  4   8   14  34    10        5  HARD-CORE True
  4   9   15  38    11        6  HARD-CORE True
  4  10   16  42    12        6  HARD-CORE True
  5   5   12  27     7        3  HARD-CORE False
  5   6   13  32     8        3  HARD-CORE True
  5   7   14  37     9        3  HARD-CORE True
  5   8   15  42    10        4  HARD-CORE True
  5   9   16  47    11        4  HARD-CORE True
  5  10   17  52    12        5  HARD-CORE True
  6   6   14  38     8        3  HARD-CORE False
  6   7   15  44     9        3  HARD-CORE True
  6   8   16  50    10        3  HARD-CORE True
  6   9   17  56    11        4  HARD-CORE True
  6  10   18  62    12        4  HARD-CORE True
  7   7   16  51     9        3  HARD-CORE False
  7   8   17  58    10        3  HARD-CORE True
  7   9   18  65    11        3  HARD-CORE True
  7  10   19  72    12        4  HARD-CORE True
  violations: 0
=== Family II (one edge inside B, 2 private leaves) ===
tau   c    n   m  alpha  residue  hardcore  ThmN-applies
  3   2    7   9     4        3  HARD-CORE False
  3   3    8  12     5        3  HARD-CORE False
  3   4    9  15     6        4  HARD-CORE True
  3   5   10  18     7        5  HARD-CORE True
  3   6   11  21     8        6  HARD-CORE True
  3   7   12  24     9        7  HARD-CORE True
  3   8   13  27    10        8  HARD-CORE True
  3   9   14  30    11        9  HARD-CORE True
  3  10   15  33    12       10  HARD-CORE True
  4   3    9  15     5        3  HARD-CORE False
  4   4   10  19     6        3  HARD-CORE False
  4   5   11  23     7        3  HARD-CORE True
  4   6   12  27     8        4  HARD-CORE True
  4   7   13  31     9        5  HARD-CORE True
  4   8   14  35    10        5  HARD-CORE True
  4   9   15  39    11        6  HARD-CORE True
  4  10   16  43    12        7  HARD-CORE True
  5   4   11  23     6        3  HARD-CORE False
  5   5   12  28     7        3  HARD-CORE False
  5   6   13  33     8        3  HARD-CORE True
  5   7   14  38     9        4  HARD-CORE True
  5   8   15  43    10        4  HARD-CORE True
  5   9   16  48    11        5  HARD-CORE True
  5  10   17  53    12        5  HARD-CORE True
  6   5   13  33     7        3  HARD-CORE False
  6   6   14  39     8        3  HARD-CORE False
  6   7   15  45     9        3  HARD-CORE True
  6   8   16  51    10        3  HARD-CORE True
  6   9   17  57    11        4  HARD-CORE True
  6  10   18  63    12        4  HARD-CORE True
  7   6   15  45     8        3  HARD-CORE False
  7   7   16  52     9        3  HARD-CORE False
  7   8   17  59    10        3  HARD-CORE True
  7   9   18  66    11        3  HARD-CORE True
  7  10   19  73    12        4  HARD-CORE True
  violations: 0
