character                chi(2a)  chi(4a)  t >=       t <=      
ord deg 1                1        1        -oo        oo        
ord deg 6                2        0        -2         2         
ord deg 10               -2       0        -2         2         
ord deg 10               -2       0        -2         2         
ord deg 14               2        0        -4         4         
ord deg 14               2        0        -4         4         
ord deg 15               -1       -1       -oo        oo        
ord deg 21               1        -1       -5         6         
ord deg 35               -1       1        -8         9         
p=3 7 pts dim 6          2        0        -2         2         
p=5 7 pts dim 6          2        0        -2         2         
p=7 7 pts dim 5          1        -1       -1         2         
p=3 21 pairs dim 19      3        -1       -2         3         
p=5 21 pairs dim 20      4        0        -3         3         
p=7 21 pairs dim 19      3        -1       -2         3         
p=3 35 triples dim 34    6        0        -3         3         
p=5 35 triples dim 33    5        -1       -3         3         
p=7 35 triples dim 33    5        -1       -3         3         
p=3 15 cosets dim 13     1        -1       -3         4         
p=5 15 cosets dim 13     1        -1       -3         4         
p=7 15 cosets dim 14     2        0        -4         4         
